	liquid	tank_failure_pressure	liquid_ratio	tank_width	tank_length	tank_height	BLEVE_height	vapour_temperature	liquid_temperature	status	gas_height	sensor_distance
B1	1	24.5	0.519805	2.2	6	1	1.6	307.8	339	1	0.40	5
B2	1	30.3	0.5777971	1.4	8.8	2.4	0.6	382.5	398.7	1	1.00	5
B3	1	9.9	0.1835418	2.8	8.4	1.6	0.8	420.4	307.7	1	1.40	5
B4	1	21	0.4289734	1	6	0.4	1.6	302.8	320.4	1	0.20	5
B5	1	13.6	0.6121555	2.8	7.6	0.6	1.6	376.8	384	0	0.40	5
B6	1	34.6	0.8847179	3	7.2	2.2	1.4	316.9	371.1	1	0.20	5
B7	1	13.3	0.8186652	0.8	8.6	1.2	0.2	492.8	402.6	0	0.40	5
B8	1	9.3	0.3428358	3	1	1.2	1.2	554.9	373.7	0	0.80	5
B9	1	8.3	0.7677645	0.6	8.8	0.8	1.4	346.6	412.5	0	0.20	5
B10	1	35.8	0.8939903	1.8	8	1	1.4	340	368.7	1	0.20	5
B11	1	22.3	0.3387812	1	6.6	1.6	0.8	386.1	392.6	1	1.00	5
B12	1	23.8	0.3692956	1.2	7.6	1	1.6	383.5	337.3	1	0.60	5
B13	1	17.4	0.5768433	0.8	9.4	2.2	1	371	330.7	1	1.00	5
B14	1	19.8	0.7774823	1.6	6	3	1.6	318	303.4	1	0.60	5
B15	1	11.2	0.1388207	0.8	4.4	0.8	1.8	363.6	283.5	1	0.60	5
B16	1	5.2	0.5114816	2.6	9.6	1.4	0.8	532	314.4	1	0.60	5
B17	1	18	0.3051463	1	3	0.6	1.4	397.2	396.3	0	0.60	5
B18	1	24.8	0.5106126	0.6	2	0.6	1.6	536.8	334	1	0.20	5
B19	1	37	0.2958338	2.6	0.6	0.6	1.6	463.5	391.2	1	0.40	5
B20	1	8.8	0.3284455	2.6	5.4	2.4	1.2	451.1	362.5	0	1.80	5
B21	1	10.2	0.696719	1.8	2.4	1.8	1	431.2	338.7	1	0.60	5
B22	1	13	0.1587601	0.6	2.2	1.8	1.8	528	411.3	0	1.60	5
B23	1	21.9	0.6492627	1.6	1.2	1.4	0.4	308.4	370.8	1	0.40	5
B24	1	5.1	0.6221378	0.8	1.8	2.4	0.4	505.5	372.3	0	1.00	5
B25	1	8.1	0.1160196	0.6	7.6	1.6	1.4	440.6	326	1	1.40	5
B26	1	25.3	0.4148703	2.8	4.4	0.6	1.4	341.8	328.4	1	0.40	5
B27	1	33.3	0.4893315	0.8	2.6	2.6	0.6	554.5	407.9	1	1.40	5
B28	1	33.2	0.7223814	0.6	8.6	0.6	1.2	392.8	381.3	1	0.20	5
B29	1	12.1	0.1188687	2.4	6	2.8	0	404.7	387.9	0	2.60	5
B30	1	28.4	0.8924361	1.6	2.4	2.2	0.6	333.7	358.6	1	0.20	5
B31	1	31.8	0.1276712	0.6	5.4	0.8	1.4	530.1	316.2	1	0.60	5
B32	1	16.2	0.2710621	2.8	2.6	1.2	0.6	506.9	320.5	1	0.80	5
B33	1	18.5	0.8692764	2.4	6.2	2.2	0.6	323.6	408.5	0	0.40	5
B34	1	36.2	0.2184631	1.6	6.6	3	2	522.4	376.5	1	2.40	5
B35	1	33.7	0.674915	1.8	4.2	1	0.4	357.8	293.4	1	0.40	5
B36	1	18.1	0.4116614	0.8	1.8	1.2	1.6	395.3	374	1	0.80	5
B37	1	13	0.8716177	2.2	2	1.8	0.2	448.2	344.9	1	0.20	5
B38	1	29.5	0.3078102	2.4	8.4	2.4	0	354.8	342	1	1.60	5
B39	1	18.8	0.170145	0.6	3	1.2	0.8	322.5	364.2	1	1.00	5
B40	1	14.3	0.6733788	2.6	9.2	2	0.4	308.8	291.4	1	0.60	5
B41	1	27.2	0.488326	1	9	1.8	1.2	379.5	317.1	1	1.00	5
B42	1	8.5	0.732974	1.8	1.6	1.2	1.6	432.6	325.6	1	0.40	5
B43	1	17.9	0.5129541	2.4	6.6	1	0.4	342	386.4	0	0.60	5
B44	1	36.2	0.8978866	1.6	5.4	2	0.2	429.6	328	1	0.20	5
B45	1	31.6	0.1344435	1.2	0.6	1	1.2	375.2	327.6	1	0.80	5
B46	1	33.8	0.7941444	1.2	0.8	1.4	0.4	283.9	349.7	1	0.20	5
B47	1	13	0.3042796	2.6	4.2	2.6	2	534.7	333.8	1	1.80	5
B48	1	16.6	0.3284939	0.8	7	1.2	1.2	563	319.7	1	0.80	5
B49	1	14.4	0.4930829	1.4	8.6	0.6	1.2	345	312.4	1	0.40	5
B50	1	37	0.2912144	1.2	4.8	2.2	0.2	348.5	296	1	1.60	5
B51	1	22.2	0.3847852	2.8	3.6	0.8	1.2	317	382.8	1	0.40	5
B52	1	18.4	0.2683935	1.6	8	1.4	1.8	321.4	392.8	0	1.20	5
B53	1	19.7	0.6341997	2.6	5.6	2.2	0.8	386	404.8	0	1.00	5
B54	1	22.2	0.6143974	0.6	6	2.2	0.8	300.2	359.9	1	0.80	5
B55	1	12.8	0.6671641	1.8	5.6	0.6	0.2	381.5	284.3	1	0.20	5
B56	1	17.5	0.4621649	1.2	4.8	2.2	0.2	327.2	398.9	0	1.20	5
B57	1	8.8	0.3746334	0.8	9.6	1.8	1.4	295.7	300.5	1	1.20	5
B58	1	13.2	0.3482221	1.4	8.2	1.2	0.6	323.9	349.3	1	0.80	5
B59	1	10.9	0.7690528	0.6	6.8	1.6	1.6	463.6	322.3	1	0.40	5
B60	1	33.4	0.5993857	2	1.4	0.4	2	312.5	321.6	1	0.20	5
B61	1	24	0.361789	0.8	5.6	2	0.8	432.5	364.8	1	1.20	5
B62	1	26.2	0.4012759	0.6	4.4	1	1.8	478.1	409.1	0	0.60	5
B63	1	17.9	0.3475468	1.8	8.6	1.6	1.6	327.4	308.4	1	1.00	5
B64	1	29.8	0.5526484	1	1	0.6	1.2	528	337.8	1	0.20	5
B65	1	28.3	0.4354704	2	2.4	1.2	2	286.4	342.9	1	0.60	5
B66	1	18.4	0.7951046	2.2	1.2	2.6	0.2	292.5	413.7	0	0.60	5
B67	1	34.9	0.3967998	2.2	3.4	1.4	1.2	426.4	408.4	1	0.80	5
B68	1	8.3	0.5151881	1.2	9.6	1	0.8	329.9	315.8	1	0.40	5
B69	1	36.6	0.8490283	2.2	2	2.4	2	318.3	407.1	1	0.40	5
B70	1	31.8	0.1390254	3	1.6	1.2	1.4	404.9	339.6	1	1.00	5
B71	1	21.9	0.7827038	0.6	5.8	1.4	1.4	550.2	327.5	1	0.40	5
B72	1	20.2	0.5853725	2.6	6	1.2	1.8	336.9	290.3	1	0.40	5
B73	1	30.4	0.8523124	2	0.6	0.8	1	451.7	399.4	1	0.20	5
B74	1	34.4	0.4041978	1.4	3.6	2.6	1.8	565.2	422.9	0	1.60	5
B75	1	25.6	0.8751045	0.8	4.2	1.8	1.2	536.9	348.8	1	0.20	5
B76	1	22.4	0.3654328	2.2	4.2	0.8	1	511.7	332.2	1	0.60	5
B77	1	34.1	0.4304861	3	6.6	2	1.8	547.3	413.6	1	1.20	5
B78	1	15.4	0.3616954	0.4	3	1	0.2	486.9	366.9	1	0.60	5
B79	1	12.2	0.8118394	1	9.2	2.4	1.6	532.5	292.7	1	0.40	5
B80	1	35.9	0.2315804	2	8.6	1	2	476.3	302.7	1	0.80	5
B81	1	18.3	0.5694878	2	7.2	1	0.2	540.4	319.1	1	0.40	5
B82	1	16.7	0.5505625	1.6	9.2	2.8	0.6	519.7	409	0	1.40	5
B83	1	7.9	0.7017251	2	3.4	0.4	1.4	532.6	418.9	0	0.20	5
B84	1	32.3	0.2557274	2.2	2	2.6	0.6	342.6	316.7	1	2.00	5
B85	1	8.3	0.3704778	0.6	5.4	2.2	1.4	512.9	285.3	1	1.40	5
B86	1	24.4	0.8138302	2	8.6	2.2	1.8	508	402	0	0.60	5
B87	1	19.6	0.1715834	1.6	9.4	2.2	0.2	546.8	359.1	1	1.80	5
B88	1	14.4	0.5225166	2.4	1	2	0.2	285.6	346	1	1.00	5
B89	1	15	0.6964062	0.8	4.4	0.6	1.6	518.2	308.8	1	0.20	5
B90	1	22.3	0.4738264	1.8	1.4	1.6	0.8	477.5	360	1	0.80	5
B91	1	8.6	0.3883961	1.4	8.6	2.2	0.6	308.3	403.2	0	1.40	5
B92	1	7.7	0.7573988	3	4.2	2.4	1.2	454.3	401.1	0	0.60	5
B93	1	13.5	0.6813783	0.6	2	0.8	0.4	326.2	320.8	1	0.20	5
B94	1	27	0.775352	2	3.4	2.6	0.6	547.5	383.7	1	0.60	5
B95	1	36.6	0.3369213	0.4	3.6	2.4	0.6	426.3	396.2	1	1.60	5
B96	1	9.9	0.6278925	1.6	8.2	1.2	0.6	313.8	405.1	0	0.60	5
B97	1	36.9	0.6450146	1.6	9.4	0.6	1	442.2	299	1	0.20	5
