?	liquid	tnk_failure_pressure	liquid_ratio	tnk_width	tnk_length	tnk_height	BLEVE_height	vapour_temperature	liquid_temperature	status	gas_height	sensor_dist
G1	1	24.5	0.519805	2.2	6	1	1.6	307.8	339	1	0.4	5
G2	1	24.5	0.519805	2.2	6	1	1.6	307.8	339	1	0.4	6
G3	1	24.5	0.519805	2.2	6	1	1.6	307.8	339	1	0.4	7
G4	1	24.5	0.519805	2.2	6	1	1.6	307.8	339	1	0.4	8
G5	1	24.5	0.519805	2.2	6	1	1.6	307.8	339	1	0.4	9
G6	1	24.5	0.519805	2.2	6	1	1.6	307.8	339	1	0.4	10
G7	1	24.5	0.519805	2.2	6	1	1.6	307.8	339	1	0.4	11
G8	1	24.5	0.519805	2.2	6	1	1.6	307.8	339	1	0.4	12
G9	1	24.5	0.519805	2.2	6	1	1.6	307.8	339	1	0.4	13
G10	1	24.5	0.519805	2.2	6	1	1.6	307.8	339	1	0.4	14
G11	1	24.5	0.519805	2.2	6	1	1.6	307.8	339	1	0.4	15
G12	1	24.5	0.519805	2.2	6	1	1.6	307.8	339	1	0.4	16
G13	1	24.5	0.519805	2.2	6	1	1.6	307.8	339	1	0.4	17
G14	1	24.5	0.519805	2.2	6	1	1.6	307.8	339	1	0.4	18
G15	1	24.5	0.519805	2.2	6	1	1.6	307.8	339	1	0.4	19
G16	1	24.5	0.519805	2.2	6	1	1.6	307.8	339	1	0.4	20
G17	1	24.5	0.519805	2.2	6	1	1.6	307.8	339	1	0.4	21
G18	1	24.5	0.519805	2.2	6	1	1.6	307.8	339	1	0.4	22
G19	1	24.5	0.519805	2.2	6	1	1.6	307.8	339	1	0.4	23
G20	1	24.5	0.519805	2.2	6	1	1.6	307.8	339	1	0.4	24
G21	1	24.5	0.519805	2.2	6	1	1.6	307.8	339	1	0.4	25
G22	1	24.5	0.519805	2.2	6	1	1.6	307.8	339	1	0.4	26
G23	1	24.5	0.519805	2.2	6	1	1.6	307.8	339	1	0.4	27
G24	1	24.5	0.519805	2.2	6	1	1.6	307.8	339	1	0.4	28
G25	1	24.5	0.519805	2.2	6	1	1.6	307.8	339	1	0.4	29
G26	1	24.5	0.519805	2.2	6	1	1.6	307.8	339	1	0.4	30
G27	1	24.5	0.519805	2.2	6	1	1.6	307.8	339	1	0.4	31
G28	1	24.5	0.519805	2.2	6	1	1.6	307.8	339	1	0.4	32
G29	1	24.5	0.519805	2.2	6	1	1.6	307.8	339	1	0.4	33
